n = 215, k = 1, d = 215, CR = 0.00465116, H_in_req = 0.02648274, efficiency = 0.17545438 
n = 216, k = 1, d = 216, CR = 0.00462963, H_in_req = 0.02636127, efficiency = 0.17544679 
n = 217, k = 1, d = 217, CR = 0.00460829, H_in_req = 0.02624092, efficiency = 0.17543926 
n = 218, k = 1, d = 218, CR = 0.00458716, H_in_req = 0.02612166, efficiency = 0.17543181 
n = 219, k = 1, d = 219, CR = 0.00456621, H_in_req = 0.02600348, efficiency = 0.17542443 
n = 220, k = 1, d = 220, CR = 0.00454545, H_in_req = 0.02588636, efficiency = 0.17541711 
n = 221, k = 1, d = 221, CR = 0.00452489, H_in_req = 0.02577029, efficiency = 0.17540986 
n = 222, k = 1, d = 222, CR = 0.00450450, H_in_req = 0.02565526, efficiency = 0.17540267 
n = 223, k = 1, d = 223, CR = 0.00448430, H_in_req = 0.02554125, efficiency = 0.17539555 
n = 224, k = 1, d = 224, CR = 0.00446429, H_in_req = 0.02542825, efficiency = 0.17538850 
n = 225, k = 1, d = 225, CR = 0.00444444, H_in_req = 0.02531624, efficiency = 0.17538151 
n = 226, k = 1, d = 226, CR = 0.00442478, H_in_req = 0.02520522, efficiency = 0.17537458 
n = 227, k = 1, d = 227, CR = 0.00440529, H_in_req = 0.02509517, efficiency = 0.17536771 
n = 228, k = 1, d = 228, CR = 0.00438596, H_in_req = 0.02498607, efficiency = 0.17536090 
n = 229, k = 1, d = 229, CR = 0.00436681, H_in_req = 0.02487792, efficiency = 0.17535415 
n = 230, k = 1, d = 230, CR = 0.00434783, H_in_req = 0.02477070, efficiency = 0.17534747 
n = 231, k = 1, d = 231, CR = 0.00432900, H_in_req = 0.02466440, efficiency = 0.17534084 
n = 232, k = 1, d = 232, CR = 0.00431034, H_in_req = 0.02455901, efficiency = 0.17533426 
n = 233, k = 1, d = 233, CR = 0.00429185, H_in_req = 0.02445451, efficiency = 0.17532775 
n = 234, k = 1, d = 234, CR = 0.00427350, H_in_req = 0.02435090, efficiency = 0.17532129 
n = 235, k = 1, d = 235, CR = 0.00425532, H_in_req = 0.02424817, efficiency = 0.17531489 
n = 236, k = 1, d = 236, CR = 0.00423729, H_in_req = 0.02414630, efficiency = 0.17530854 
n = 237, k = 1, d = 237, CR = 0.00421941, H_in_req = 0.02404528, efficiency = 0.17530224 
n = 238, k = 1, d = 238, CR = 0.00420168, H_in_req = 0.02394510, efficiency = 0.17529600 
n = 239, k = 1, d = 239, CR = 0.00418410, H_in_req = 0.02384575, efficiency = 0.17528981 
n = 240, k = 1, d = 240, CR = 0.00416667, H_in_req = 0.02374722, efficiency = 0.17528368 
n = 241, k = 1, d = 241, CR = 0.00414938, H_in_req = 0.02364951, efficiency = 0.17527759 
n = 242, k = 1, d = 242, CR = 0.00413223, H_in_req = 0.02355260, efficiency = 0.17527156 
n = 243, k = 1, d = 243, CR = 0.00411523, H_in_req = 0.02345647, efficiency = 0.17526557 
n = 244, k = 1, d = 244, CR = 0.00409836, H_in_req = 0.02336113, efficiency = 0.17525964 
n = 245, k = 1, d = 245, CR = 0.00408163, H_in_req = 0.02326656, efficiency = 0.17525375 
n = 246, k = 1, d = 246, CR = 0.00406504, H_in_req = 0.02317275, efficiency = 0.17524791 
n = 247, k = 1, d = 247, CR = 0.00404858, H_in_req = 0.02307970, efficiency = 0.17524212 
n = 248, k = 1, d = 248, CR = 0.00403226, H_in_req = 0.02298739, efficiency = 0.17523638 
n = 249, k = 1, d = 249, CR = 0.00401606, H_in_req = 0.02289581, efficiency = 0.17523068 
n = 250, k = 1, d = 250, CR = 0.00400000, H_in_req = 0.02280497, efficiency = 0.17522503 
n = 251, k = 1, d = 251, CR = 0.00398406, H_in_req = 0.02271484, efficiency = 0.17521942 
n = 252, k = 1, d = 252, CR = 0.00396825, H_in_req = 0.02262542, efficiency = 0.17521386 
n = 253, k = 1, d = 253, CR = 0.00395257, H_in_req = 0.02253670, efficiency = 0.17520835 
n = 254, k = 1, d = 254, CR = 0.00393701, H_in_req = 0.02244867, efficiency = 0.17520287 
n = 255, k = 1, d = 255, CR = 0.00392157, H_in_req = 0.02236133, efficiency = 0.17519744 
n = 256, k = 1, d = 256, CR = 0.00390625, H_in_req = 0.02227467, efficiency = 0.17519206
