n = 66, k = 17, d = 24, CR = 0.25757576, H_in_req = 0.46195236, efficiency = 0.55754798 
n = 102, k = 26, d = 32, CR = 0.25490196, H_in_req = 0.46034834, efficiency = 0.55369409 
n = 139, k = 35, d = 40, CR = 0.25179856, H_in_req = 0.45938404, efficiency = 0.54810648 
n = 143, k = 36, d = 41, CR = 0.25174825, H_in_req = 0.45833624, efficiency = 0.54925017 
n = 144, k = 36, d = 42, CR = 0.25000000, H_in_req = 0.44983019, efficiency = 0.55574984 
n = 64, k = 16, d = 24, CR = 0.25000000, H_in_req = 0.44885216, efficiency = 0.55694146 
n = 146, k = 36, d = 43, CR = 0.24657534, H_in_req = 0.44161788, efficiency = 0.55832997 
n = 147, k = 36, d = 44, CR = 0.24489796, H_in_req = 0.43368547, efficiency = 0.56467458 
n = 146, k = 35, d = 44, CR = 0.23972603, H_in_req = 0.42626750, efficiency = 0.56236795 
n = 144, k = 34, d = 44, CR = 0.23611111, H_in_req = 0.41877061, efficiency = 0.56380310 
n = 124, k = 29, d = 40, CR = 0.23387097, H_in_req = 0.41080893, efficiency = 0.56927416 
n = 125, k = 29, d = 41, CR = 0.23200000, H_in_req = 0.40268982, efficiency = 0.57610596 
n = 126, k = 29, d = 42, CR = 0.23015873, H_in_req = 0.39487359, efficiency = 0.58284676 
n = 127, k = 29, d = 43, CR = 0.22834646, H_in_req = 0.38734445, efficiency = 0.58949750 
n = 128, k = 29, d = 44, CR = 0.22656250, H_in_req = 0.38008757, efficiency = 0.59605919 
n = 126, k = 28, d = 43, CR = 0.22222222, H_in_req = 0.37925526, efficiency = 0.58592276 
n = 127, k = 28, d = 44, CR = 0.22047244, H_in_req = 0.37210842, efficiency = 0.59247402 
n = 125, k = 27, d = 43, CR = 0.21600000, H_in_req = 0.37108083, efficiency = 0.58206188 
n = 126, k = 27, d = 44, CR = 0.21428571, H_in_req = 0.36404751, efficiency = 0.58859840 
n = 124, k = 26, d = 43, CR = 0.20967742, H_in_req = 0.36282074, efficiency = 0.57788691 
n = 139, k = 29, d = 47, CR = 0.20863309, H_in_req = 0.35981610, efficiency = 0.57981259 
n = 125, k = 26, d = 44, CR = 0.20800000, H_in_req = 0.35590447, efficiency = 0.58440402 
n = 140, k = 29, d = 48, CR = 0.20714286, H_in_req = 0.35351796, efficiency = 0.58592700 
n = 138, k = 28, d = 47, CR = 0.20289855, H_in_req = 0.35215510, efficiency = 0.57614189 
n = 124, k = 25, d = 44, CR = 0.20161290, H_in_req = 0.34767893, efficiency = 0.57985925 
n = 139, k = 28, d = 48, CR = 0.20143885, H_in_req = 0.34595896, efficiency = 0.58224148 
n = 137, k = 27, d = 47, CR = 0.19708029, H_in_req = 0.34442166, efficiency = 0.57218526 
n = 138, k = 27, d = 48, CR = 0.19565217, H_in_req = 0.33833027, efficiency = 0.57826611 
n = 242, k = 47, d = 74, CR = 0.19421488, H_in_req = 0.33679145, efficiency = 0.57664987 
n = 135, k = 26, d = 47, CR = 0.19259259, H_in_req = 0.33661547, efficiency = 0.57212221 
n = 245, k = 47, d = 75, CR = 0.19183673, H_in_req = 0.33296510, efficiency = 0.57613442 
n = 136, k = 26, d = 48, CR = 0.19117647, H_in_req = 0.33063163, efficiency = 0.57819368 
n = 246, k = 47, d = 76, CR = 0.19105691, H_in_req = 0.32922279, efficiency = 0.58031477 
n = 247, k = 47, d = 77, CR = 0.19028340, H_in_req = 0.32556184, efficiency = 0.58446455 
n = 248, k = 47, d = 78, CR = 0.18951613, H_in_req = 0.32197971, efficiency = 0.58858399 
n = 249, k = 47, d = 79, CR = 0.18875502, H_in_req = 0.31847393, efficiency = 0.59267333 
n = 250, k = 47, d = 80, CR = 0.18800000, H_in_req = 0.31504216, efficiency = 0.59673283 
n = 251, k = 47, d = 81, CR = 0.18725100, H_in_req = 0.31168214, efficiency = 0.60076274 
n = 252, k = 47, d = 82, CR = 0.18650794, H_in_req = 0.30839168, efficiency = 0.60476329 
n = 253, k = 47, d = 83, CR = 0.18577075, H_in_req = 0.30516871, efficiency = 0.60873476 
n = 254, k = 47, d = 84, CR = 0.18503937, H_in_req = 0.30201121, efficiency = 0.61267738 
n = 255, k = 47, d = 85, CR = 0.18431373, H_in_req = 0.29891725, efficiency = 0.61659141 
n = 256, k = 47, d = 86, CR = 0.18359375, H_in_req = 0.29588496, efficiency = 0.62047711 
n = 254, k = 46, d = 85, CR = 0.18110236, H_in_req = 0.29437777, efficiency = 0.61519057 
n = 255, k = 46, d = 86, CR = 0.18039216, H_in_req = 0.29138337, efficiency = 0.61907527 
n = 253, k = 45, d = 85, CR = 0.17786561, H_in_req = 0.28981554, efficiency = 0.61370644 
n = 254, k = 45, d = 86, CR = 0.17716535, H_in_req = 0.28685952, efficiency = 0.61758947 
n = 255, k = 45, d = 87, CR = 0.17647059, H_in_req = 0.28396228, efficiency = 0.62144404 
n = 256, k = 45, d = 88, CR = 0.17578125, H_in_req = 0.28112212, efficiency = 0.62527043 
n = 254, k = 44, d = 87, CR = 0.17322835, H_in_req = 0.27945444, efficiency = 0.61986637 
n = 255, k = 44, d = 88, CR = 0.17254902, H_in_req = 0.27665201, efficiency = 0.62369004 
n = 253, k = 43, d = 87, CR = 0.16996047, H_in_req = 0.27492475, efficiency = 0.61819288 
n = 254, k = 43, d = 88, CR = 0.16929134, H_in_req = 0.27216052, efficiency = 0.62201308 
n = 252, k = 42, d = 87, CR = 0.16666667, H_in_req = 0.27037318, efficiency = 0.61641729 
n = 253, k = 42, d = 88, CR = 0.16600791, H_in_req = 0.26764762, efficiency = 0.62023326 
n = 251, k = 41, d = 87, CR = 0.16334661, H_in_req = 0.26579968, efficiency = 0.61453284 
n = 252, k = 41, d = 88, CR = 0.16269841, H_in_req = 0.26311327, efficiency = 0.61834375 
n = 250, k = 40, d = 87, CR = 0.16000000, H_in_req = 0.26120423, efficiency = 0.61253221 
n = 251, k = 40, d = 88, CR = 0.15936255, H_in_req = 0.25855745, efficiency = 0.61633719 
n = 249, k = 39, d = 87, CR = 0.15662651, H_in_req = 0.25658678, efficiency = 0.61040749 
n = 250, k = 39, d = 88, CR = 0.15600000, H_in_req = 0.25398010, efficiency = 0.61420561 
n = 248, k = 38, d = 87, CR = 0.15322581, H_in_req = 0.25194731, efficiency = 0.60815009 
n = 249, k = 38, d = 88, CR = 0.15261044, H_in_req = 0.24938121, efficiency = 0.61194036 
n = 247, k = 37, d = 87, CR = 0.14979757, H_in_req = 0.24728577, efficiency = 0.60575068 
n = 254, k = 38, d = 89, CR = 0.14960630, H_in_req = 0.24686630, efficiency = 0.60600561 
n = 248, k = 37, d = 88, CR = 0.14919355, H_in_req = 0.24476074, efficiency = 0.60953206 
n = 255, k = 38, d = 90, CR = 0.14901961, H_in_req = 0.24440108, efficiency = 0.60971780 
n = 511, k = 76, d = 171, CR = 0.14872798, H_in_req = 0.23085175, efficiency = 0.64424909 
n = 255, k = 36, d = 92, CR = 0.14117647, H_in_req = 0.23066865, efficiency = 0.61201447 
