n = 38, k = 1, d = 38, CR = 0.02631578947368421, H_in_req = 0.131483, efficiency = 0.19994713, area = 8.67 GEs 
n = 38, k = 37, d = 2, CR = 0.9736842105263158, H_in_req = 0.998568, efficiency = 0.97505417, area = 262.13 GEs 
n = 39, k = 1, d = 39, CR = 0.02564102564102564, H_in_req = 0.128276, efficiency = 0.19969093, area = 8.67 GEs 
n = 39, k = 38, d = 2, CR = 0.9743589743589743, H_in_req = 0.998606, efficiency = 0.97569425, area = 268.80 GEs 
n = 40, k = 1, d = 40, CR = 0.025, H_in_req = 0.125221, efficiency = 0.19944812, area = 8.67 GEs 
n = 40, k = 39, d = 2, CR = 0.975, H_in_req = 0.998641, efficiency = 0.97630230, area = 275.47 GEs 
n = 41, k = 1, d = 41, CR = 0.024390243902439025, H_in_req = 0.122308, efficiency = 0.19921754, area = 8.67 GEs 
n = 41, k = 20, d = 10, CR = 0.4878048780487805, H_in_req = 0.70348, efficiency = 0.69338287, area = 157.40 GEs 
n = 41, k = 21, d = 9, CR = 0.5121951219512195, H_in_req = 0.726911, efficiency = 0.70458560, area = 166.07 GEs 
n = 41, k = 40, d = 2, CR = 0.975609756097561, H_in_req = 0.998675, efficiency = 0.97688068, area = 282.14 GEs 
n = 42, k = 1, d = 42, CR = 0.023809523809523808, H_in_req = 0.119527, efficiency = 0.19899890, area = 8.67 GEs 
n = 42, k = 41, d = 2, CR = 0.9761904761904762, H_in_req = 0.998706, efficiency = 0.97743148, area = 288.81 GEs 
n = 43, k = 1, d = 43, CR = 0.023255813953488372, H_in_req = 0.11687, efficiency = 0.19879028, area = 8.67 GEs 
n = 43, k = 14, d = 14, CR = 0.32558139534883723, H_in_req = 0.537439, efficiency = 0.60575899, area = 113.38 GEs 
n = 43, k = 15, d = 13, CR = 0.3488372093023256, H_in_req = 0.565485, efficiency = 0.61684085, area = 110.05 GEs 
n = 43, k = 42, d = 2, CR = 0.9767441860465116, H_in_req = 0.998737, efficiency = 0.97795666, area = 295.48 GEs 
n = 44, k = 1, d = 44, CR = 0.022727272727272728, H_in_req = 0.114328, efficiency = 0.19859146, area = 8.67 GEs 
n = 44, k = 43, d = 2, CR = 0.9772727272727273, H_in_req = 0.998766, efficiency = 0.97845795, area = 302.15 GEs 
n = 45, k = 1, d = 45, CR = 0.022222222222222223, H_in_req = 0.111894, efficiency = 0.19840225, area = 8.67 GEs 
n = 45, k = 44, d = 2, CR = 0.9777777777777777, H_in_req = 0.998794, efficiency = 0.97893694, area = 308.82 GEs 
n = 46, k = 1, d = 46, CR = 0.021739130434782608, H_in_req = 0.109562, efficiency = 0.19822112, area = 8.67 GEs 
n = 46, k = 45, d = 2, CR = 0.9782608695652174, H_in_req = 0.99882, efficiency = 0.97939510, area = 315.49 GEs 
n = 47, k = 1, d = 47, CR = 0.02127659574468085, H_in_req = 0.107324, efficiency = 0.19804836, area = 8.67 GEs 
n = 47, k = 23, d = 12, CR = 0.48936170212765956, H_in_req = 0.683008, efficiency = 0.71644934, area = 181.41 GEs 
n = 47, k = 24, d = 11, CR = 0.5106382978723404, H_in_req = 0.703657, efficiency = 0.72566216, area = 182.08 GEs 
n = 47, k = 46, d = 2, CR = 0.9787234042553191, H_in_req = 0.998846, efficiency = 0.97983375, area = 322.16 GEs 
n = 48, k = 1, d = 48, CR = 0.020833333333333332, H_in_req = 0.105176, efficiency = 0.19788310, area = 8.67 GEs 
n = 48, k = 47, d = 2, CR = 0.9791666666666666, H_in_req = 0.99887, efficiency = 0.98025412, area = 328.83 GEs 
n = 49, k = 1, d = 49, CR = 0.02040816326530612, H_in_req = 0.103112, efficiency = 0.19772441, area = 8.67 GEs 
n = 49, k = 48, d = 2, CR = 0.9795918367346939, H_in_req = 0.998893, efficiency = 0.98065732, area = 335.50 GEs 
n = 50, k = 1, d = 50, CR = 0.02, H_in_req = 0.101128, efficiency = 0.19757260, area = 8.67 GEs 
n = 50, k = 49, d = 2, CR = 0.98, H_in_req = 0.998916, efficiency = 0.98104437, area = 342.17 GEs 
n = 51, k = 1, d = 51, CR = 0.0196078431372549, H_in_req = 0.099218, efficiency = 0.19742692, area = 8.67 GEs 
n = 51, k = 8, d = 24, CR = 0.1568627450980392, H_in_req = 0.329469, efficiency = 0.47604863, area = 61.36 GEs 
n = 51, k = 17, d = 16, CR = 0.3333333333333333, H_in_req = 0.521561, efficiency = 0.63907049, area = 127.39 GEs 
n = 51, k = 19, d = 14, CR = 0.37254901960784315, H_in_req = 0.568465, efficiency = 0.65532543, area = 148.73 GEs 
n = 51, k = 50, d = 2, CR = 0.9803921568627451, H_in_req = 0.998937, efficiency = 0.98141625, area = 348.84 GEs 
n = 52, k = 1, d = 52, CR = 0.019230769230769232, H_in_req = 0.097379, efficiency = 0.19728681, area = 8.67 GEs 
n = 52, k = 51, d = 2, CR = 0.9807692307692307, H_in_req = 0.998958, efficiency = 0.98177381, area = 355.51 GEs 
n = 53, k = 1, d = 53, CR = 0.018867924528301886, H_in_req = 0.095607, efficiency = 0.19715233, area = 8.67 GEs 
n = 53, k = 52, d = 2, CR = 0.9811320754716981, H_in_req = 0.998978, efficiency = 0.98211788, area = 362.18 GEs 
n = 54, k = 1, d = 54, CR = 0.018518518518518517, H_in_req = 0.093898, efficiency = 0.19702318, area = 8.67 GEs 
n = 54, k = 53, d = 2, CR = 0.9814814814814815, H_in_req = 0.998997, efficiency = 0.98244919, area = 368.85 GEs 
n = 55, k = 1, d = 55, CR = 0.01818181818181818, H_in_req = 0.092249, efficiency = 0.19689861, area = 8.67 GEs 
n = 55, k = 20, d = 16, CR = 0.36363636363636365, H_in_req = 0.543307, efficiency = 0.66926857, area = 157.40 GEs 
n = 55, k = 21, d = 15, CR = 0.38181818181818183, H_in_req = 0.560189, efficiency = 0.68155655, area = 166.07 GEs 
n = 56, k = 1, d = 56, CR = 0.017857142857142856, H_in_req = 0.090657, efficiency = 0.19677885, area = 8.67 GEs 
n = 57, k = 1, d = 57, CR = 0.017543859649122806, H_in_req = 0.089119, efficiency = 0.19666309, area = 8.67 GEs 
n = 58, k = 1, d = 58, CR = 0.017241379310344827, H_in_req = 0.087632, efficiency = 0.19655198, area = 8.67 GEs 
n = 59, k = 1, d = 59, CR = 0.01694915254237288, H_in_req = 0.086194, efficiency = 0.19644449, area = 8.67 GEs 
n = 60, k = 1, d = 60, CR = 0.016666666666666666, H_in_req = 0.084802, efficiency = 0.19634047, area = 8.67 GEs 
n = 61, k = 1, d = 61, CR = 0.01639344262295082, H_in_req = 0.083455, efficiency = 0.19624012, area = 8.67 GEs 
n = 62, k = 1, d = 62, CR = 0.016129032258064516, H_in_req = 0.082149, efficiency = 0.19614292, area = 8.67 GEs 
n = 63, k = 1, d = 63, CR = 0.015873015873015872, H_in_req = 0.080884, efficiency = 0.19604916, area = 8.67 GEs 
n = 63, k = 10, d = 27, CR = 0.15873015873015872, H_in_req = 0.309858, efficiency = 0.51221724, area = 80.70 GEs 
n = 63, k = 11, d = 26, CR = 0.1746031746031746, H_in_req = 0.326843, efficiency = 0.53416372, area = 81.37 GEs 
n = 63, k = 15, d = 24, CR = 0.23809523809523808, H_in_req = 0.39211, efficiency = 0.60717588, area = 116.05 GEs 
n = 63, k = 16, d = 23, CR = 0.25396825396825395, H_in_req = 0.408151, efficiency = 0.62220326, area = 120.72 GEs 
